nodex,nodey,offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di,score
0,987,3.104,2.649,3.122,1.786,0.648,0.477,297,660,297,660,396,462,0
0,989,3.078,2.218,3.082,1.239,0.503,0.375,297,363,297,363,396,330,0
0,990,3.065,3.668,3.027,2.46,0.907,0.647,297,1023,297,1023,396,792,0
0,991,3.218,1.48,3.135,0.826,0.343,0.238,297,132,297,132,396,99,0
0,992,3.073,1.63,3.015,0.906,0.364,0.27,297,165,297,165,396,165,0
0,993,3.127,1.27,3.111,0.66,0.283,0.212,297,33,297,33,396,33,0
0,994,3.089,1.257,3.036,0.704,0.304,0.241,297,66,297,66,396,0,0
0,995,3.202,3.023,3.143,1.487,0.663,0.443,297,495,297,495,396,660,0
0,997,3.085,2.967,3.016,1.604,0.682,0.465,297,561,297,561,396,627,0
0,999,3.268,1.427,3.347,0.767,0.32,0.228,297,99,297,99,396,99,0
0,1000,3.06,2.591,2.988,1.523,0.571,0.419,297,495,297,495,396,363,0
0,1002,3.167,1.43,3.364,0.72,0.352,0.225,297,66,297,66,396,66,0
0,1004,3.101,1.987,3.03,1.078,0.427,0.303,297,231,297,231,396,264,0
0,1005,3.133,7.315,3.102,4.258,1.871,1.147,297,2013,297,2013,396,1980,0
0,1006,3.056,2.388,3.13,1.341,0.548,0.39,297,396,297,396,396,396,0
0,1007,3.103,1.57,3.049,0.829,0.343,0.26,297,132,297,132,396,132,0
0,1008,3.369,1.469,3.2,0.798,0.325,0.257,297,99,297,99,396,99,0
0,1009,3.288,4.401,3.02,2.537,1.004,0.722,297,1056,297,1056,396,1023,0
0,1010,3.278,1.558,3.168,0.907,0.355,0.26,297,165,297,165,396,132,0
0,1011,3.012,1.839,3.114,0.968,0.416,0.282,297,198,297,198,396,231,0
0,1012,3.069,1.552,3.101,0.831,0.342,0.272,297,132,297,132,396,132,0
0,1013,3.01,1.762,3.161,0.83,0.403,0.304,297,132,297,132,396,198,0
0,1014,3.091,2.311,3.067,1.358,0.545,0.336,297,429,297,429,396,396,0
0,1015,3.126,1.26,3.176,0.661,0.276,0.216,297,33,297,33,396,33,0
0,1016,3.043,1.227,3.168,0.6,0.259,0.205,297,0,297,0,396,33,0
0,1017,3.106,1.169,3.124,0.644,0.258,0.205,297,33,297,33,396,0,0
0,1018,3.132,2.028,3.194,1.13,0.461,0.336,297,297,297,297,396,297,0
0,1019,3.15,1.169,3.085,0.647,0.258,0.205,297,33,297,33,396,0,0
0,1020,3.035,1.664,3.018,0.947,0.375,0.292,297,198,297,198,396,165,0
0,1021,3.056,1.34,3.126,0.719,0.293,0.227,297,66,297,66,396,66,0
0,1022,3.1,1.445,3.127,0.826,0.328,0.237,297,132,297,132,396,99,0
0,1023,3.064,2.086,3.356,1.238,0.496,0.36,297,363,297,363,396,297,0
0,1024,3.123,4.821,3.063,2.604,1.117,0.745,297,1089,297,1089,396,1221,0
0,1025,3.093,1.986,3.023,1.241,0.474,0.34,297,363,297,363,396,264,0
0,1026,3.002,1.489,3.064,0.84,0.334,0.249,297,132,297,132,396,99,0
0,1028,3.156,1.17,2.979,0.649,0.259,0.206,297,33,297,33,396,0,0
0,1029,3.067,1.287,3.122,0.737,0.298,0.227,297,66,297,66,396,33,0
0,1030,3.127,3.987,3.102,2.132,0.92,0.649,297,858,297,858,396,957,0
0,1032,3.185,1.506,3.158,0.728,0.329,0.238,297,66,297,66,396,99,0
0,1033,3.006,1.286,3.053,0.651,0.27,0.245,297,33,297,33,396,33,0
0,1034,3.206,1.302,3.121,0.657,0.292,0.215,297,33,297,33,396,0,0
0,1035,3.043,2.039,3.073,1.247,0.485,0.349,297,363,297,363,396,264,0
0,1036,3.018,2.923,3.112,1.67,0.661,0.503,297,561,297,561,396,594,0
0,1037,3.075,2.057,3.117,1.092,0.44,0.325,297,231,297,231,396,297,0
0,1038,3.131,1.168,2.965,0.663,0.26,0.205,297,33,297,33,396,0,0
0,1039,3.084,2.058,3.165,1.005,0.445,0.325,297,231,297,231,396,330,0
0,1040,3.08,1.251,3.069,0.658,0.272,0.217,297,33,297,33,396,33,0
0,1041,3.023,4.315,3.098,2.616,1.053,0.696,297,1122,297,1122,396,1023,0
0,1042,3.212,1.881,3.011,0.985,0.411,0.304,297,198,297,198,396,231,0
0,1043,3.001,1.851,3.048,0.979,0.401,0.293,297,198,297,198,396,231,0
0,1044,3.018,1.842,3.105,0.998,0.412,0.304,297,198,297,198,396,231,0
0,1045,2.995,1.608,3.216,1.005,0.378,0.292,297,231,297,231,396,132,0
0,1046,3.048,1.546,3.042,0.831,0.346,0.26,297,132,297,132,396,132,0
0,1047,3.052,1.267,2.973,0.713,0.282,0.217,297,66,297,66,396,33,0
0,1049,3.086,1.475,3.021,1.071,0.362,0.292,297,264,297,264,396,66,0
0,1050,3.271,1.333,3.1,0.728,0.296,0.216,297,66,297,66,396,66,0
0,1051,3.091,1.313,3.034,0.638,0.27,0.214,297,1,297,1,396,2,1
0,1052,3.118,1.273,3.064,0.709,0.276,0.206,297,33,297,33,396,33,0
0,1053,3.268,1.692,3.06,0.771,0.36,0.281,297,99,297,99,396,165,0
0,1054,3.231,1.25,2.996,0.656,0.281,0.206,297,33,297,33,396,33,0
0,1055,3.171,1.808,3.017,0.977,0.41,0.281,297,198,297,198,396,198,0
0,1056,3.068,1.401,3.007,0.713,0.296,0.239,297,66,297,66,396,66,0
0,1058,3.251,1.455,3.228,0.785,0.334,0.239,297,99,297,99,396,99,0
0,1059,3.112,1.265,3.274,0.582,0.263,0.239,297,0,297,0,396,33,0
0,1061,3.141,1.245,3.208,0.653,0.275,0.206,297,33,297,33,396,33,0
0,1062,3.663,1.637,3.607,0.838,0.362,0.278,297,132,297,132,396,165,0
0,1063,4.767,2.345,4.549,1.426,0.547,0.39,297,429,297,429,396,396,0
0,1065,3.269,1.267,3.113,0.712,0.285,0.217,297,66,297,66,396,33,0
0,1066,3.138,1.248,3.192,0.651,0.271,0.216,297,33,297,33,396,33,0
0,1067,3.236,1.376,3.271,0.713,0.297,0.227,297,66,297,66,396,66,0
0,1068,3.443,1.354,3.312,0.767,0.304,0.227,297,99,297,99,396,66,0
0,1069,3.323,1.615,3.571,0.826,0.359,0.26,297,132,297,132,396,165,0
0,1070,3.166,1.239,3.125,0.652,0.272,0.206,297,33,297,33,396,33,0
0,1071,3.336,1.415,3.449,0.709,0.309,0.227,297,66,297,66,396,99,0
0,1072,3.315,1.844,3.971,0.71,0.364,0.308,297,66,297,66,396,264,0
0,1073,3.938,2.048,3.78,1.119,0.46,0.34,297,297,297,297,396,297,0
0,1074,3.104,1.288,3.258,0.68,0.272,0.211,297,33,297,33,396,33,0
0,1075,4.165,1.854,3.93,1.125,0.435,0.303,297,297,297,297,396,231,0
0,1076,3.663,1.932,3.453,1.095,0.438,0.3,297,264,297,264,396,264,0
0,1078,3.499,1.705,3.766,0.888,0.379,0.271,297,165,297,165,396,198,0
0,1079,3.393,1.396,3.299,0.828,0.319,0.256,297,132,297,132,396,66,0
0,1080,3.594,1.596,3.445,0.977,0.369,0.256,297,165,297,165,396,132,0
0,1081,3.056,1.924,3.415,0.866,0.401,0.292,297,132,297,132,396,297,0
0,1082,3.259,1.268,3.012,0.647,0.277,0.236,297,33,297,33,396,0,0
0,1083,3.748,1.975,3.759,1.003,0.431,0.313,297,231,297,231,396,264,0
0,1084,3.818,1.572,3.663,0.948,0.365,0.27,297,198,297,198,396,132,0
0,1085,3.111,1.256,3.196,0.652,0.277,0.217,297,33,297,33,396,33,0
0,1087,3.318,1.662,3.209,0.946,0.385,0.281,297,198,297,198,396,165,0
0,1088,4.664,2.475,4.599,1.463,0.571,0.393,297,429,297,429,396,429,0
0,1089,4.102,1.879,3.944,1.119,0.463,0.303,297,297,297,297,396,231,0
0,1090,3.309,1.506,3.276,0.77,0.331,0.238,297,99,297,99,396,132,0
0,1091,3.407,1.745,3.405,0.827,0.365,0.317,297,132,297,132,396,198,0
0,1092,3.238,1.283,3.147,0.764,0.292,0.216,297,66,297,66,396,33,0
0,1093,3.383,1.409,3.256,0.782,0.323,0.227,297,99,297,99,396,66,0
0,1094,3.259,1.217,3.133,0.671,0.269,0.245,297,33,297,33,396,0,0
0,1095,3.625,2.409,3.475,1.471,0.57,0.4,297,495,297,495,396,396,0
0,1096,3.136,1.257,3.084,0.653,0.273,0.206,297,33,297,33,396,33,0
0,1097,3.231,1.344,3.355,0.666,0.289,0.216,297,33,297,33,396,66,0
0,1098,3.066,1.241,3.274,0.591,0.26,0.206,297,0,297,0,396,33,0
0,1099,3.997,2.797,5.046,1.344,0.608,0.445,297,396,297,396,396,561,0
0,1100,3.28,2.031,3.197,1.089,0.468,0.303,297,264,297,264,396,297,0
0,1102,3.306,1.782,3.406,0.852,0.378,0.27,297,132,297,132,396,198,0
0,1103,3.685,1.605,3.551,0.954,0.354,0.255,297,165,297,165,396,132,0
0,1105,3.336,1.609,3.251,0.872,0.354,0.315,297,132,297,132,396,99,0
0,1106,3.21,1.356,3.127,0.728,0.3,0.232,297,66,297,66,396,66,0
0,1107,3.093,1.279,3.248,0.582,0.307,0.206,297,0,297,0,396,33,0
0,1108,3.007,1.258,3.147,0.581,0.281,0.206,297,0,297,0,396,33,0
0,1109,3.055,1.417,3.291,0.713,0.296,0.228,297,66,297,66,396,66,0
0,1110,3.105,1.406,3.317,0.653,0.298,0.228,297,33,297,33,396,99,0
0,1111,3.767,1.667,3.713,0.945,0.377,0.293,297,198,297,198,396,165,0
0,1112,3.789,2.815,3.671,1.423,0.691,0.443,297,462,297,462,396,528,0
0,1113,3.255,1.536,3.448,0.725,0.304,0.23,297,33,297,33,396,99,0
0,1114,3.12,1.267,3.126,0.65,0.276,0.206,297,33,297,33,396,33,0
0,1115,3.014,1.551,3.205,0.875,0.357,0.249,297,132,297,132,396,132,0
0,1116,3.16,1.254,3.197,0.678,0.278,0.205,297,33,297,33,396,33,0
0,1117,3.183,2.1,3.545,0.954,0.434,0.33,297,198,297,198,396,330,0
0,1118,3.182,1.27,3.227,0.713,0.29,0.218,297,66,297,66,396,33,0
