offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di
0.203,1.039,0.199,0.931,0.279,0.209,297,66,297,66,198,33
0.192,0.995,0.194,0.849,0.265,0.178,297,33,297,33,198,33
0.195,0.893,0.194,0.846,0.25,0.177,297,33,297,33,198,0
0.203,0.996,0.194,0.853,0.264,0.18,297,33,297,33,198,33
0.193,0.997,0.194,0.853,0.263,0.178,297,33,297,33,198,33
0.196,1.024,0.201,0.93,0.279,0.191,297,66,297,66,198,33
0.196,1.016,0.2,0.855,0.268,0.194,297,33,297,33,198,33
0.202,0.905,0.197,0.852,0.251,0.177,264,66,264,66,165,33
0.208,1.611,0.205,1.159,0.401,0.274,264,198,264,198,165,231
0.197,1.283,0.197,1.08,0.362,0.218,264,165,264,165,165,132
0.198,0.89,0.197,0.773,0.233,0.176,264,33,264,33,165,33
0.201,1.86,0.215,1.313,0.466,0.305,264,264,264,264,165,297
0.199,1.38,0.197,1.31,0.412,0.261,264,264,264,264,165,132
0.211,1.481,0.198,1.084,0.374,0.247,264,165,264,165,165,198
0.198,1.129,0.199,0.928,0.294,0.204,264,99,264,99,165,99
0.203,1.46,0.215,1.313,0.402,0.274,264,264,264,264,165,165
0.201,1.533,0.203,1.31,0.389,0.24,264,264,264,264,165,264
0.17,0.757,0.17,0.67,0.202,0.14,264,33,264,33,165,33
0.178,1.274,0.17,1.005,0.368,0.226,264,198,264,198,165,165
0.196,3.017,0.189,2.013,0.752,0.456,264,693,264,693,165,726
0.186,1.139,0.172,1.136,0.321,0.263,264,264,264,264,165,99
0.176,1.534,0.174,1.299,0.407,0.29,264,330,264,330,165,231
0.181,1.646,0.178,1.207,0.414,0.288,264,297,264,297,165,297
0.174,0.965,0.183,0.742,0.242,0.178,264,66,264,66,165,99
0.175,1.5,0.173,1.197,0.377,0.277,264,264,264,264,165,231
0.173,1.102,0.172,0.806,0.292,0.199,264,99,264,99,165,132
0.174,1.187,0.172,0.962,0.308,0.202,264,165,264,165,165,165
0.174,0.881,0.167,0.752,0.219,0.153,264,66,264,66,165,33
0.176,1.27,0.179,0.882,0.308,0.214,264,132,264,132,165,198
0.167,1.165,0.173,0.817,0.283,0.198,264,99,264,99,165,165
0.171,1.252,0.169,0.939,0.323,0.222,264,165,264,165,165,165
0.238,1.12,0.173,0.96,0.295,0.21,264,165,264,165,165,132
0.17,0.967,0.169,0.74,0.241,0.177,264,66,264,66,165,99
0.172,1.206,0.19,1.148,0.334,0.244,264,264,264,264,165,132
0.189,1.581,0.173,1.207,0.389,0.286,264,264,264,264,165,264
0.175,0.877,0.168,0.671,0.217,0.152,264,33,264,33,165,66
0.171,0.866,0.186,0.764,0.229,0.156,264,66,264,66,165,66
0.178,1.411,0.172,1.155,0.369,0.25,264,264,264,264,165,198
0.185,1.09,0.172,0.877,0.288,0.189,264,132,264,132,165,132
0.175,1.321,0.174,1.073,0.348,0.226,264,231,264,231,165,198
0.17,0.787,0.189,0.674,0.202,0.172,264,33,264,33,165,33
0.19,1.22,0.176,0.872,0.311,0.202,264,132,264,132,165,165
0.179,1.106,0.175,0.804,0.268,0.211,264,99,264,99,165,132
0.172,0.755,0.169,0.676,0.202,0.141,264,33,264,33,165,33
0.182,1.835,0.187,1.539,0.489,0.324,264,429,264,429,165,330
0.191,0.987,0.174,0.817,0.261,0.178,264,99,264,99,165,99
0.171,0.952,0.17,0.739,0.242,0.165,264,66,264,66,165,99
0.175,1.144,0.17,1.224,0.336,0.251,264,297,264,297,165,99
0.19,1.304,0.172,1.404,0.407,0.281,264,396,264,396,165,132
